Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,ENA-STATUS-ID (run),environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,sample_name,Sequencing_method,SRA Study,Submitter_Id,create_date,version
ERR2215195,AMPLICON,500,43533500,PRJEB23820,SAMEA104420404,19652299,"MICROBIAL ECOLOGY OF HEALTH UNIT, UNIVERSITY OF BO",2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-12-07,2017-12-07,2018-11-16,2017-12-07,4,organic feature,anthropogenic environmental material,human-gut,ERX2269780,SAMEA104420404,Italy,Europe,Italy,44.490457,11.362662,human-gut,"Microbial Ecology of Health UNIT\, University of Bologna","Microbial Ecology of Health UNIT\, University of Bologna",2017-12-07T17:07:47Z,2017-12-07T11:39:15Z,public,Illumina HiSeq 3000,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,Early signature of aGvHD development in the gut microbiota composition of pediatric patients given allogeneic hematopoietic cell transplantation for hematological disorders,2017-12-08T00:00:00Z,SAMEA104420404,b10p14,Illumina,ERP105598,b10p14,2017-12-13T02:39:00Z,2
ERR2215196,AMPLICON,500,30341000,PRJEB23820,SAMEA104420405,13805924,"MICROBIAL ECOLOGY OF HEALTH UNIT, UNIVERSITY OF BO",2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-12-07,2017-12-07,2018-11-16,2017-12-07,4,organic feature,anthropogenic environmental material,human-gut,ERX2269781,SAMEA104420405,Italy,Europe,Italy,44.490457,11.362662,human-gut,"Microbial Ecology of Health UNIT\, University of Bologna","Microbial Ecology of Health UNIT\, University of Bologna",2017-12-07T17:07:47Z,2017-12-07T11:39:15Z,public,Illumina HiSeq 3000,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,Early signature of aGvHD development in the gut microbiota composition of pediatric patients given allogeneic hematopoietic cell transplantation for hematological disorders,2017-12-08T00:00:00Z,SAMEA104420405,b10p26,Illumina,ERP105598,b10p26,2017-12-13T02:39:00Z,2
ERR2215197,AMPLICON,500,77275000,PRJEB23820,SAMEA104420406,36494481,"MICROBIAL ECOLOGY OF HEALTH UNIT, UNIVERSITY OF BO",2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-12-07,2017-12-07,2018-11-16,2017-12-07,4,organic feature,anthropogenic environmental material,human-gut,ERX2269782,SAMEA104420406,Italy,Europe,Italy,44.490457,11.362662,human-gut,"Microbial Ecology of Health UNIT\, University of Bologna","Microbial Ecology of Health UNIT\, University of Bologna",2017-12-07T17:07:47Z,2017-12-07T11:39:15Z,public,Illumina HiSeq 3000,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,Early signature of aGvHD development in the gut microbiota composition of pediatric patients given allogeneic hematopoietic cell transplantation for hematological disorders,2017-12-08T00:00:00Z,SAMEA104420406,b10p34,Illumina,ERP105598,b10p34,2017-12-13T02:39:00Z,2
ERR2215198,AMPLICON,500,36879000,PRJEB23820,SAMEA104420407,16610052,"MICROBIAL ECOLOGY OF HEALTH UNIT, UNIVERSITY OF BO",2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-12-07,2017-12-07,2018-11-16,2017-12-07,4,organic feature,anthropogenic environmental material,human-gut,ERX2269783,SAMEA104420407,Italy,Europe,Italy,44.490457,11.362662,human-gut,"Microbial Ecology of Health UNIT\, University of Bologna","Microbial Ecology of Health UNIT\, University of Bologna",2017-12-07T17:07:47Z,2017-12-07T11:39:15Z,public,Illumina HiSeq 3000,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,Early signature of aGvHD development in the gut microbiota composition of pediatric patients given allogeneic hematopoietic cell transplantation for hematological disorders,2017-12-08T00:00:00Z,SAMEA104420407,b10pre,Illumina,ERP105598,b10pre,2017-12-13T02:39:00Z,2
ERR2215199,AMPLICON,500,26939000,PRJEB23820,SAMEA104420408,12201092,"MICROBIAL ECOLOGY OF HEALTH UNIT, UNIVERSITY OF BO",2015,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-12-07,2017-12-07,2018-11-16,2017-12-07,4,organic feature,anthropogenic environmental material,human-gut,ERX2269784,SAMEA104420408,Italy,Europe,Italy,44.490457,11.362662,human-gut,"Microbial Ecology of Health UNIT\, University of Bologna","Microbial Ecology of Health UNIT\, University of Bologna",2017-12-07T17:07:47Z,2017-12-07T11:39:15Z,public,Illumina HiSeq 3000,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,Early signature of aGvHD development in the gut microbiota composition of pediatric patients given allogeneic hematopoietic cell transplantation for hematological disorders,2017-12-08T00:00:00Z,SAMEA104420408,b1p23,Illumina,ERP105598,b1p23,2017-12-13T02:40:00Z,2
ERR2215200,AMPLICON,500,99355500,PRJEB23820,SAMEA104420409,47907382,"MICROBIAL ECOLOGY OF HEALTH UNIT, UNIVERSITY OF BO",2015,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-12-07,2017-12-07,2018-11-16,2017-12-07,4,organic feature,anthropogenic environmental material,human-gut,ERX2269785,SAMEA104420409,Italy,Europe,Italy,44.490457,11.362662,human-gut,"Microbial Ecology of Health UNIT\, University of Bologna","Microbial Ecology of Health UNIT\, University of Bologna",2017-12-07T17:07:47Z,2017-12-07T11:39:15Z,public,Illumina HiSeq 3000,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,Early signature of aGvHD development in the gut microbiota composition of pediatric patients given allogeneic hematopoietic cell transplantation for hematological disorders,2017-12-08T00:00:00Z,SAMEA104420409,b1p34,Illumina,ERP105598,b1p34,2017-12-13T02:40:00Z,2
ERR2215201,AMPLICON,500,33625000,PRJEB23820,SAMEA104420410,14935484,"MICROBIAL ECOLOGY OF HEALTH UNIT, UNIVERSITY OF BO",2015,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-12-07,2017-12-07,2018-11-16,2017-12-07,4,organic feature,anthropogenic environmental material,human-gut,ERX2269786,SAMEA104420410,Italy,Europe,Italy,44.490457,11.362662,human-gut,"Microbial Ecology of Health UNIT\, University of Bologna","Microbial Ecology of Health UNIT\, University of Bologna",2017-12-07T17:07:47Z,2017-12-07T11:39:15Z,public,Illumina HiSeq 3000,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,Early signature of aGvHD development in the gut microbiota composition of pediatric patients given allogeneic hematopoietic cell transplantation for hematological disorders,2017-12-08T00:00:00Z,SAMEA104420410,b1pre,Illumina,ERP105598,b1pre,2017-12-13T02:40:00Z,2
ERR2215202,AMPLICON,500,45052500,PRJEB23820,SAMEA104420411,21777177,"MICROBIAL ECOLOGY OF HEALTH UNIT, UNIVERSITY OF BO",2015,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-12-07,2017-12-07,2018-11-16,2017-12-07,4,organic feature,anthropogenic environmental material,human-gut,ERX2269787,SAMEA104420411,Italy,Europe,Italy,44.490457,11.362662,human-gut,"Microbial Ecology of Health UNIT\, University of Bologna","Microbial Ecology of Health UNIT\, University of Bologna",2017-12-07T17:07:47Z,2017-12-07T11:39:15Z,public,Illumina HiSeq 3000,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,Early signature of aGvHD development in the gut microbiota composition of pediatric patients given allogeneic hematopoietic cell transplantation for hematological disorders,2017-12-08T00:00:00Z,SAMEA104420411,b2p22,Illumina,ERP105598,b2p22,2017-12-13T02:40:00Z,2
ERR2215203,AMPLICON,500,116801500,PRJEB23820,SAMEA104420412,56270119,"MICROBIAL ECOLOGY OF HEALTH UNIT, UNIVERSITY OF BO",2015,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-12-07,2017-12-07,2018-11-16,2017-12-07,4,organic feature,anthropogenic environmental material,human-gut,ERX2269788,SAMEA104420412,Italy,Europe,Italy,44.490457,11.362662,human-gut,"Microbial Ecology of Health UNIT\, University of Bologna","Microbial Ecology of Health UNIT\, University of Bologna",2017-12-07T17:07:47Z,2017-12-07T11:39:15Z,public,Illumina HiSeq 3000,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,Early signature of aGvHD development in the gut microbiota composition of pediatric patients given allogeneic hematopoietic cell transplantation for hematological disorders,2017-12-08T00:00:00Z,SAMEA104420412,b2p34,Illumina,ERP105598,b2p34,2017-12-13T02:40:00Z,2
ERR2215204,AMPLICON,500,44419000,PRJEB23820,SAMEA104420413,21236425,"MICROBIAL ECOLOGY OF HEALTH UNIT, UNIVERSITY OF BO",2015,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-12-07,2017-12-07,2018-11-16,2017-12-07,4,organic feature,anthropogenic environmental material,human-gut,ERX2269789,SAMEA104420413,Italy,Europe,Italy,44.490457,11.362662,human-gut,"Microbial Ecology of Health UNIT\, University of Bologna","Microbial Ecology of Health UNIT\, University of Bologna",2017-12-07T17:07:47Z,2017-12-07T11:39:15Z,public,Illumina HiSeq 3000,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,Early signature of aGvHD development in the gut microbiota composition of pediatric patients given allogeneic hematopoietic cell transplantation for hematological disorders,2017-12-08T00:00:00Z,SAMEA104420413,b2pre,Illumina,ERP105598,b2pre,2017-12-13T02:40:00Z,2
