Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id,INSDC_center_alias,Library Name,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea)
ERR10966587,AMPLICON,414,17092666,PRJEB53547,SAMEA112745995,13868870,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403425,SAMEA112745995,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:55:00Z,2,SAMEA112745995,MO16S_002,human metagenome,ERP138358,MO16S_002,University Hospital Regensburg,ERS14741257,,,,
ERR10966588,AMPLICON,419,16949052,PRJEB53547,SAMEA112745996,13665709,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403426,SAMEA112745996,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:10:00Z,1,SAMEA112745996,MO16S_003,human metagenome,ERP138358,MO16S_003,University Hospital Regensburg,ERS14741258,,,,
ERR10966589,AMPLICON,416,15428408,PRJEB53547,SAMEA112745997,12537637,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403427,SAMEA112745997,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:10:00Z,1,SAMEA112745997,MO16S_004,human metagenome,ERP138358,MO16S_004,University Hospital Regensburg,ERS14741259,,,,
ERR10966593,AMPLICON,405,5475173,PRJEB53547,SAMEA112746001,4506631,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403431,SAMEA112746001,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T01:30:00Z,2,SAMEA112746001,MO16S_008,human metagenome,ERP138358,MO16S_008,University Hospital Regensburg,ERS14741263,,,,
ERR10966595,AMPLICON,417,15910695,PRJEB53547,SAMEA112746003,12838297,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403433,SAMEA112746003,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:11:00Z,1,SAMEA112746003,MO16S_010,human metagenome,ERP138358,MO16S_010,University Hospital Regensburg,ERS14741265,,,,
ERR10966596,AMPLICON,434,13611983,PRJEB53547,SAMEA112746004,10888697,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403434,SAMEA112746004,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:11:00Z,1,SAMEA112746004,MO16S_011,human metagenome,ERP138358,MO16S_011,University Hospital Regensburg,ERS14741266,,,,
ERR10966598,AMPLICON,429,16717299,PRJEB53547,SAMEA112746006,13408630,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403436,SAMEA112746006,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:11:00Z,1,SAMEA112746006,MO16S_013,human metagenome,ERP138358,MO16S_013,University Hospital Regensburg,ERS14741268,,,,
ERR10966599,AMPLICON,416,22531069,PRJEB53547,SAMEA112746007,18144146,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403437,SAMEA112746007,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:11:00Z,1,SAMEA112746007,MO16S_014,human metagenome,ERP138358,MO16S_014,University Hospital Regensburg,ERS14741269,,,,
ERR10966600,AMPLICON,413,18653165,PRJEB53547,SAMEA112746008,15066833,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403438,SAMEA112746008,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:11:00Z,1,SAMEA112746008,MO16S_015,human metagenome,ERP138358,MO16S_015,University Hospital Regensburg,ERS14741270,,,,
ERR10966601,AMPLICON,419,21434830,PRJEB53547,SAMEA112746009,17215658,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403439,SAMEA112746009,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:12:00Z,1,SAMEA112746009,MO16S_016,human metagenome,ERP138358,MO16S_016,University Hospital Regensburg,ERS14741271,,,,
