Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-STATUS-ID (exp),ENA-STATUS-ID (run),environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,local_environmental_context,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,sample_name,scientific_name,SRA Study,Submitter_Id
ERR15204862,WGS,269,2560635768,PRJEB91891,SAMEA118675439,hospital [ENVO:00002173],1005571190,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2023,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610571,Germany,Europe,Germany,48.15,11.57,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T21:56:00Z,1,SAMEA118675439,AS9577_3,human feces metagenome,ERP174821,AS9577_3
ERR15204863,WGS,269,2262765093,PRJEB91891,SAMEA118675440,hospital [ENVO:00002173],879001515,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2023,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610572,Germany,Europe,Germany,48.15,11.57,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-28T17:38:00Z,1,SAMEA118675440,AS9577_4,human feces metagenome,ERP174821,AS9577_4
ERR15204915,WGS,267,5168881255,PRJEB91891,SAMEA118675428,hospital [ENVO:00002173],2379456518,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2020,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610624,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T23:43:00Z,1,SAMEA118675428,AS_7979_100,human feces metagenome,ERP174821,AS_7979_100
ERR15204916,WGS,267,2977871454,PRJEB91891,SAMEA118675424,hospital [ENVO:00002173],1354908493,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2020,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610625,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T17:35:00Z,1,SAMEA118675424,AS_7979_101,human feces metagenome,ERP174821,AS_7979_101
ERR15204917,WGS,268,4685657826,PRJEB91891,SAMEA118675429,hospital [ENVO:00002173],2121365839,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2020,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610626,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T23:42:00Z,1,SAMEA118675429,AS_7979_102,human feces metagenome,ERP174821,AS_7979_102
ERR15204918,WGS,267,5633415348,PRJEB91891,SAMEA118675431,hospital [ENVO:00002173],2574814287,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2022,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610627,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T21:59:00Z,1,SAMEA118675431,AS_7979_103,human feces metagenome,ERP174821,AS_7979_103
ERR15204920,WGS,267,5027102012,PRJEB91891,SAMEA118675432,hospital [ENVO:00002173],2285004127,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2022,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610629,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-28T06:19:00Z,1,SAMEA118675432,AS_7979_104,human feces metagenome,ERP174821,AS_7979_104
ERR15204921,WGS,268,4918341136,PRJEB91891,SAMEA118675430,hospital [ENVO:00002173],2238281114,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2022,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610630,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T17:31:00Z,1,SAMEA118675430,AS_7979_105,human feces metagenome,ERP174821,AS_7979_105
ERR15204923,WGS,267,4615676960,PRJEB91891,SAMEA118675433,hospital [ENVO:00002173],2106339464,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2022,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610632,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T17:34:00Z,1,SAMEA118675433,AS_7979_106,human feces metagenome,ERP174821,AS_7979_106
ERR15204924,WGS,267,5623108090,PRJEB91891,SAMEA118675434,hospital [ENVO:00002173],2550401221,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2022,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610633,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T17:36:00Z,1,SAMEA118675434,AS_7979_107,human feces metagenome,ERP174821,AS_7979_107
ERR15204925,WGS,267,6008860794,PRJEB91891,SAMEA118675435,hospital [ENVO:00002173],2737032838,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2020,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610634,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T17:29:00Z,1,SAMEA118675435,AS_7979_108,human feces metagenome,ERP174821,AS_7979_108
