Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample_label,Sample Name,SRA Study
SRR31961429,WGS,261,2176046806,PRJNA1209112,SAMN46207488,Metagenome or environmental,705800337,RASHIDILAB,not applicable,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX27316922,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A015_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:24:00Z,1,A015_t0,zr15702_225,SRP556577
SRR31961430,WGS,256,2691885055,PRJNA1209112,SAMN46207487,Metagenome or environmental,864811491,RASHIDILAB,not applicable,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX27316921,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A006_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:24:00Z,1,A006_t0,zr15702_224,SRP556577
SRR31961431,WGS,255,3086651175,PRJNA1209112,SAMN46207558,Metagenome or environmental,878423682,RASHIDILAB,not applicable,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX27316920,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A012_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:25:00Z,1,A012_t0,zr16701_9,SRP556577
SRR31961432,WGS,268,2621087516,PRJNA1209112,SAMN46207557,Metagenome or environmental,737698059,RASHIDILAB,not applicable,public,"fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX27316919,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A001_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:24:00Z,1,A001_t1,zr16701_8,SRP556577
SRR31961433,WGS,265,5059613051,PRJNA1209112,SAMN46207556,Metagenome or environmental,1426242213,RASHIDILAB,not applicable,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX27316918,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,donor_3,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:33:00Z,1,donor_3,zr16701_75,SRP556577
SRR31961434,WGS,269,2632190369,PRJNA1209112,SAMN46207555,Metagenome or environmental,729759485,RASHIDILAB,not applicable,public,"sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX27316917,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,donor_2,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:24:00Z,1,donor_2,zr16701_74,SRP556577
SRR31961435,WGS,269,2967078566,PRJNA1209112,SAMN46207554,Metagenome or environmental,823318364,RASHIDILAB,not applicable,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX27316916,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,donor_1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:25:00Z,1,donor_1,zr16701_73,SRP556577
SRR31961436,WGS,272,2890068271,PRJNA1209112,SAMN46207553,Metagenome or environmental,798758902,RASHIDILAB,not applicable,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX27316915,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A011_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:25:00Z,1,A011_t0,zr16701_7,SRP556577
SRR31961437,WGS,267,2085475382,PRJNA1209112,SAMN46207552,Metagenome or environmental,589000058,RASHIDILAB,not applicable,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX27316914,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A016_t2,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:23:00Z,1,A016_t2,zr16701_66,SRP556577
SRR31961438,WGS,267,2943416778,PRJNA1209112,SAMN46207551,Metagenome or environmental,823849261,RASHIDILAB,not applicable,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX27316913,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A031_t2,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:25:00Z,1,A031_t2,zr16701_65,SRP556577
