Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR33580512,AMPLICON,489,8697929,PRJNA1263152,SAMN48512845,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",6165997,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810440,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.45 E,AD05TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD05TAKE,SRP585526
SRR33580513,AMPLICON,501,19545972,PRJNA1263152,SAMN48512844,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13540935,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810439,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.44 E,AD05PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD05PRE,SRP585526
SRR33580514,AMPLICON,501,13473106,PRJNA1263152,SAMN48512911,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9392785,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810438,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.111 E,AD38TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD38TAKE,SRP585526
SRR33580515,AMPLICON,501,23206265,PRJNA1263152,SAMN48512910,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16322519,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810437,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.110 E,AD38PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD38PRE,SRP585526
SRR33580516,AMPLICON,501,15595878,PRJNA1263152,SAMN48512909,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10950266,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810436,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.109 E,AD37TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD37TAKE,SRP585526
SRR33580517,AMPLICON,501,16155270,PRJNA1263152,SAMN48512908,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11181067,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810435,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.108 E,AD37PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD37PRE,SRP585526
SRR33580518,AMPLICON,501,17160247,PRJNA1263152,SAMN48512907,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11795897,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810434,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.107 E,AD36TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD36TAKE,SRP585526
SRR33580519,AMPLICON,501,20905117,PRJNA1263152,SAMN48512906,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14529600,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810433,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.106 E,AD36PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD36PRE,SRP585526
SRR33580520,AMPLICON,501,12878067,PRJNA1263152,SAMN48512843,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8926575,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810432,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.43 E,AD04TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD04TAKE,SRP585526
SRR33580521,AMPLICON,501,13939361,PRJNA1263152,SAMN48512905,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9651980,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810431,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.105 E,AD35TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD35TAKE,SRP585526
SRR33580522,AMPLICON,501,17635967,PRJNA1263152,SAMN48512904,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12216759,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810430,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.104 E,AD35PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD35PRE,SRP585526
SRR33580523,AMPLICON,501,16903870,PRJNA1263152,SAMN48512903,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11838963,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810429,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.103 E,AD34TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD34TAKE,SRP585526
