Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,hostid,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study
SRR10572396,WGA,462,7380361,PRJNA592853,SAMN13441094,Metagenome or environmental,4827711,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX7253984,Italy,Europe,Italy:Bologna,Homo sapiens,BP5P74,Illumina MiSeq,human feces,human gut,missing,BP5P74,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:02:00Z,1,BP5P74,metagenomic assembly,SRP234378
SRR10572397,WGA,457,2205082,PRJNA592853,SAMN13441093,Metagenome or environmental,1497888,UNIVERSITY OF BOLOGNA,not available,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX7253983,Italy,Europe,Italy:Bologna,Homo sapiens,BP5P60,Illumina MiSeq,human feces,human gut,missing,BP5P60,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:02:00Z,1,BP5P60,metagenomic assembly,SRP234378
SRR10572398,WGA,458,13582826,PRJNA592853,SAMN13441092,Metagenome or environmental,8586763,UNIVERSITY OF BOLOGNA,not available,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX7253982,Italy,Europe,Italy:Bologna,Homo sapiens,BP5P57,Illumina MiSeq,human feces,human gut,missing,BP5P57,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:02:00Z,1,BP5P57,metagenomic assembly,SRP234378
SRR10572399,WGA,455,13478831,PRJNA592853,SAMN13441091,Metagenome or environmental,8512361,UNIVERSITY OF BOLOGNA,not available,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX7253981,Italy,Europe,Italy:Bologna,Homo sapiens,BP5P52,Illumina MiSeq,human feces,human gut,missing,BP5P52,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:02:00Z,1,BP5P52,metagenomic assembly,SRP234378
SRR10572400,WGA,459,13535404,PRJNA592853,SAMN13441090,Metagenome or environmental,8661577,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX7253980,Italy,Europe,Italy:Bologna,Homo sapiens,BP5P47,Illumina MiSeq,human feces,human gut,missing,BP5P47,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:02:00Z,1,BP5P47,metagenomic assembly,SRP234378
SRR10572401,WGA,460,13656430,PRJNA592853,SAMN13441089,Metagenome or environmental,8406203,UNIVERSITY OF BOLOGNA,not available,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX7253979,Italy,Europe,Italy:Bologna,Homo sapiens,BP5P39,Illumina MiSeq,human feces,human gut,missing,BP5P39,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:02:00Z,1,BP5P39,metagenomic assembly,SRP234378
SRR10572409,WGA,456,11126860,PRJNA592853,SAMN13441082,Metagenome or environmental,7300705,UNIVERSITY OF BOLOGNA,not available,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX7253971,Italy,Europe,Italy:Bologna,Homo sapiens,BP3P48,Illumina MiSeq,human feces,human gut,missing,BP3P48,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-05T00:00:00Z,2019-12-02T17:03:00Z,1,BP3P48,metagenomic assembly,SRP234378
SRR10572410,WGA,461,3279400,PRJNA592853,SAMN13441081,Metagenome or environmental,2165611,UNIVERSITY OF BOLOGNA,not available,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX7253970,Italy,Europe,Italy:Bologna,Homo sapiens,BP3P37,Illumina MiSeq,human feces,human gut,missing,BP3P37,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:02:00Z,1,BP3P37,metagenomic assembly,SRP234378
SRR10572415,WGA,458,13539822,PRJNA592853,SAMN13441023,Metagenome or environmental,8572199,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7253965,Italy,Europe,Italy:Bologna,Homo sapiens,BE1P62,Illumina MiSeq,human feces,human gut,missing,BE1P62,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE1P62,metagenomic assembly,SRP234378
SRR10572416,WGA,451,8789846,PRJNA592853,SAMN13441076,Metagenome or environmental,5923409,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX7253964,Italy,Europe,Italy:Bologna,Homo sapiens,BP1PRE,Illumina MiSeq,human feces,human gut,missing,BP1PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BP1PRE,metagenomic assembly,SRP234378
