Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample_id_unique,Sample Name,SRA Study,SampleID (run)
SRR15158076,AMPLICON,261,13575075,PRJNA746305,SAMN14139150,Metagenome or environmental,9158614,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX11465719,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1772M .. 16_2_D,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:08:00Z,1,1772M,1772M,SRP328310,
SRR15158077,AMPLICON,266,5608372,PRJNA746305,SAMN14139149,Metagenome or environmental,3873175,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX11465718,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1772L .. 16_2_D,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:07:00Z,1,1772L,1772L,SRP328310,
SRR15158078,AMPLICON,259,2874931,PRJNA746305,SAMN14139148,Metagenome or environmental,2032121,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX11465717,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1772K .. 16_2_D,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:07:00Z,1,1772K,1772K,SRP328310,
SRR15158079,AMPLICON,259,13614588,PRJNA746305,SAMN14139147,Metagenome or environmental,7751791,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX11465716,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1766O .. Pool_TR_9_IGO_10293_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:08:00Z,1,1766O,1766O,SRP328310,
SRR15158080,AMPLICON,265,7932724,PRJNA746305,SAMN14139146,Metagenome or environmental,4625420,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX11465715,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1766N .. Pool_TR_9_IGO_10293_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:08:00Z,1,1766N,1766N,SRP328310,
SRR15158081,AMPLICON,264,2461083,PRJNA746305,SAMN14139145,Metagenome or environmental,1283056,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX11465714,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1766M .. Pool_TR_9_IGO_10293_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:08:00Z,1,1766M,1766M,SRP328310,
SRR15158082,AMPLICON,262,31736225,PRJNA746305,SAMN14139142,Metagenome or environmental,18706074,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX11465713,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1760L .. Pool_TR_9_IGO_10293_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:08:00Z,1,1760L,1760L,SRP328310,
SRR15158083,AMPLICON,262,26556519,PRJNA746305,SAMN14139141,Metagenome or environmental,14408623,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX11465712,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1760K .. Pool_TR_9_IGO_10293_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:08:00Z,1,1760K,1760K,SRP328310,
SRR15158084,AMPLICON,264,5556150,PRJNA746305,SAMN14139140,Metagenome or environmental,3487900,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX11465711,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1759D .. Pool_TR_9_IGO_10293_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:08:00Z,1,1759D,1759D,SRP328310,
SRR15158085,AMPLICON,266,13273360,PRJNA746305,SAMN14139138,Metagenome or environmental,8471876,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX11465710,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1758H .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:08:00Z,1,1758H,1758H,SRP328310,
